Vertex number=1, colored with color nb=4
Vertex number=2, colored with color nb=3
Vertex number=3, colored with color nb=3
Vertex number=4, colored with color nb=1
Vertex number=5, colored with color nb=2
Vertex number=6, colored with color nb=2
Vertex number=7, colored with color nb=4
Vertex number=8, colored with color nb=1
Vertex number=9, colored with color nb=2
Vertex number=10, colored with color nb=1
Vertex number=11, colored with color nb=3
Vertex number=12, colored with color nb=2
Vertex number=13, colored with color nb=1
Vertex number=14, colored with color nb=2
Vertex number=15, colored with color nb=2
Vertex number=16, colored with color nb=3
Vertex number=17, colored with color nb=3
Vertex number=18, colored with color nb=1
Vertex number=19, colored with color nb=2
Vertex number=20, colored with color nb=2
Vertex number=21, colored with color nb=1
Vertex number=22, colored with color nb=1
Vertex number=23, colored with color nb=1
Vertex number=24, colored with color nb=2
Vertex number=25, colored with color nb=1
Vertex number=26, colored with color nb=3
Vertex number=27, colored with color nb=3
Vertex number=28, colored with color nb=3
Vertex number=29, colored with color nb=2
Vertex number=30, colored with color nb=1
Vertex number=31, colored with color nb=1
Vertex number=32, colored with color nb=1
Vertex number=33, colored with color nb=1
Vertex number=34, colored with color nb=1
Vertex number=35, colored with color nb=1
Vertex number=36, colored with color nb=1
Vertex number=37, colored with color nb=1
Vertex number=38, colored with color nb=1
Vertex number=39, colored with color nb=1
Vertex number=40, colored with color nb=1
Vertex number=41, colored with color nb=1
Vertex number=42, colored with color nb=1
Vertex number=43, colored with color nb=1
Vertex number=44, colored with color nb=1
Vertex number=45, colored with color nb=1
Vertex number=46, colored with color nb=1
Vertex number=47, colored with color nb=1
Vertex number=48, colored with color nb=1
Vertex number=49, colored with color nb=1
Vertex number=50, colored with color nb=2
Largest color used was 4
 We used a number of 4 colors
